account_id,customer_id,account_type,opened_at
A0000,C0000,SAVINGS,2025-02-01T00:00:00
A0001,C0001,SAVINGS,2025-02-02T00:00:00
A0002,C0002,SAVINGS,2025-02-03T00:00:00
A0003,C0003,SAVINGS,2025-02-04T00:00:00
A0004,C0004,SAVINGS,2025-02-05T00:00:00
A0005,C0005,SAVINGS,2025-02-06T00:00:00
A0006,C0006,WALLET,2025-02-07T00:00:00
A0007,C0007,SAVINGS,2025-02-08T00:00:00
A0008,C0008,SAVINGS,2025-02-09T00:00:00
A0009,C0009,SAVINGS,2025-02-10T00:00:00
A0010,C0010,SAVINGS,2025-02-11T00:00:00
A0011,C0011,WALLET,2025-02-12T00:00:00
A0012,C0012,SAVINGS,2025-02-13T00:00:00
A0013,C0013,CURRENT,2025-02-14T00:00:00
A0014,C0014,SAVINGS,2025-02-15T00:00:00
A0015,C0015,SAVINGS,2025-02-16T00:00:00
A0016,C0016,SAVINGS,2025-02-17T00:00:00
A0017,C0017,WALLET,2025-02-18T00:00:00
A0018,C0018,SAVINGS,2025-02-19T00:00:00
A0019,C0019,SAVINGS,2025-02-20T00:00:00
A0020,C0020,SAVINGS,2025-02-21T00:00:00
A0021,C0021,SAVINGS,2025-02-22T00:00:00
A0022,C0022,SAVINGS,2025-02-23T00:00:00
A0023,C0023,SAVINGS,2025-02-24T00:00:00
A0024,C0024,SAVINGS,2025-02-25T00:00:00
A0025,C0025,CURRENT,2025-02-26T00:00:00
A0026,C0026,CURRENT,2025-02-27T00:00:00
A0027,C0027,SAVINGS,2025-02-28T00:00:00
A0028,C0028,SAVINGS,2025-03-01T00:00:00
A0029,C0029,SAVINGS,2025-03-02T00:00:00
A0030,C0030,CURRENT,2025-03-03T00:00:00
A0031,C0031,SAVINGS,2025-03-04T00:00:00
A0032,C0032,CURRENT,2025-03-05T00:00:00
A0033,C0033,CURRENT,2025-03-06T00:00:00
A0034,C0034,CURRENT,2025-03-07T00:00:00
A0035,C0035,SAVINGS,2025-03-08T00:00:00
A0036,C0036,WALLET,2025-03-09T00:00:00
A0037,C0037,SAVINGS,2025-03-10T00:00:00
A0038,C0038,SAVINGS,2025-03-11T00:00:00
A0039,C0039,SAVINGS,2025-03-12T00:00:00
A0040,C0040,SAVINGS,2025-03-13T00:00:00
A0041,C0041,CURRENT,2025-03-14T00:00:00
A0042,C0042,CURRENT,2025-03-15T00:00:00
A0043,C0043,SAVINGS,2025-03-16T00:00:00
A0044,C0044,WALLET,2025-03-17T00:00:00
A0045,C0045,SAVINGS,2025-03-18T00:00:00
A0046,C0046,SAVINGS,2025-03-19T00:00:00
A0047,C0047,SAVINGS,2025-03-20T00:00:00
A0048,C0048,WALLET,2025-03-21T00:00:00
A0049,C0049,SAVINGS,2025-03-22T00:00:00
A0050,C0050,SAVINGS,2025-03-23T00:00:00
A0051,C0051,SAVINGS,2025-03-24T00:00:00
A0052,C0052,WALLET,2025-03-25T00:00:00
A0053,C0053,CURRENT,2025-03-26T00:00:00
A0054,C0054,CURRENT,2025-03-27T00:00:00
A0055,C0055,CURRENT,2025-03-28T00:00:00
A0056,C0056,CURRENT,2025-03-29T00:00:00
A0057,C0057,SAVINGS,2025-03-30T00:00:00
A0058,C0058,SAVINGS,2025-03-31T00:00:00
A0059,C0059,CURRENT,2025-04-01T00:00:00
A0060,C0060,CURRENT,2025-04-02T00:00:00
A0061,C0061,SAVINGS,2025-04-03T00:00:00
A0062,C0062,SAVINGS,2025-04-04T00:00:00
A0063,C0063,CURRENT,2025-04-05T00:00:00
A0064,C0064,SAVINGS,2025-04-06T00:00:00
A0065,C0065,WALLET,2025-04-07T00:00:00
A0066,C0066,SAVINGS,2025-04-08T00:00:00
A0067,C0067,SAVINGS,2025-04-09T00:00:00
A0068,C0068,CURRENT,2025-04-10T00:00:00
A0069,C0069,SAVINGS,2025-04-11T00:00:00
A0070,C0070,SAVINGS,2025-04-12T00:00:00
A0071,C0071,SAVINGS,2025-04-13T00:00:00
A0072,C0072,CURRENT,2025-04-14T00:00:00
A0073,C0073,SAVINGS,2025-04-15T00:00:00
A0074,C0074,SAVINGS,2025-04-16T00:00:00
A0075,C0075,CURRENT,2025-04-17T00:00:00
A0076,C0076,WALLET,2025-04-18T00:00:00
A0077,C0077,SAVINGS,2025-04-19T00:00:00
A0078,C0078,SAVINGS,2025-04-20T00:00:00
A0079,C0079,SAVINGS,2025-04-21T00:00:00
A0080,C0080,SAVINGS,2025-04-22T00:00:00
A0081,C0081,SAVINGS,2025-04-23T00:00:00
A0082,C0082,CURRENT,2025-04-24T00:00:00
A0083,C0083,SAVINGS,2025-04-25T00:00:00
A0084,C0084,SAVINGS,2025-04-26T00:00:00
A0085,C0085,CURRENT,2025-04-27T00:00:00
A0086,C0086,SAVINGS,2025-04-28T00:00:00
A0087,C0087,SAVINGS,2025-04-29T00:00:00
A0088,C0088,CURRENT,2025-04-30T00:00:00
A0089,C0089,CURRENT,2025-05-01T00:00:00
A0090,C0090,CURRENT,2025-05-02T00:00:00
A0091,C0091,SAVINGS,2025-05-03T00:00:00
A0092,C0092,SAVINGS,2025-05-04T00:00:00
A0093,C0093,WALLET,2025-05-05T00:00:00
A0094,C0094,SAVINGS,2025-05-06T00:00:00
A0095,C0095,SAVINGS,2025-05-07T00:00:00
A0096,C0096,SAVINGS,2025-05-08T00:00:00
A0097,C0097,CURRENT,2025-05-09T00:00:00
A0098,C0098,WALLET,2025-05-10T00:00:00
A0099,C0099,SAVINGS,2025-05-11T00:00:00
A0100,C0100,WALLET,2025-05-12T00:00:00
A0101,C0101,SAVINGS,2025-05-13T00:00:00
A0102,C0102,SAVINGS,2025-05-14T00:00:00
A0103,C0103,SAVINGS,2025-05-15T00:00:00
A0104,C0104,SAVINGS,2025-05-16T00:00:00
A0105,C0105,SAVINGS,2025-05-17T00:00:00
A0106,C0106,SAVINGS,2025-05-18T00:00:00
A0107,C0107,WALLET,2025-05-19T00:00:00
A0108,C0108,SAVINGS,2025-05-20T00:00:00
A0109,C0109,WALLET,2025-05-21T00:00:00
A0110,C0110,CURRENT,2025-05-22T00:00:00
A0111,C0111,SAVINGS,2025-05-23T00:00:00
A0112,C0112,CURRENT,2025-05-24T00:00:00
A0113,C0113,SAVINGS,2025-05-25T00:00:00
A0114,C0114,SAVINGS,2025-05-26T00:00:00
A0115,C0115,CURRENT,2025-05-27T00:00:00
A0116,C0116,CURRENT,2025-05-28T00:00:00
A0117,C0117,SAVINGS,2025-05-29T00:00:00
A0118,C0118,SAVINGS,2025-05-30T00:00:00
A0119,C0119,SAVINGS,2025-05-31T00:00:00
A0120,C0120,CURRENT,2025-06-01T00:00:00
A0121,C0121,SAVINGS,2025-06-02T00:00:00
A0122,C0122,SAVINGS,2025-06-03T00:00:00
A0123,C0123,SAVINGS,2025-06-04T00:00:00
A0124,C0124,SAVINGS,2025-06-05T00:00:00
A0125,C0000,CURRENT,2025-06-06T00:00:00
A0126,C0001,CURRENT,2025-06-07T00:00:00
A0127,C0002,SAVINGS,2025-06-08T00:00:00
A0128,C0003,SAVINGS,2025-06-09T00:00:00
A0129,C0004,SAVINGS,2025-06-10T00:00:00
A0130,C0005,CURRENT,2025-06-11T00:00:00
A0131,C0006,CURRENT,2025-06-12T00:00:00
A0132,C0007,SAVINGS,2025-06-13T00:00:00
A0133,C0008,SAVINGS,2025-06-14T00:00:00
A0134,C0009,SAVINGS,2025-06-15T00:00:00
A0135,C0010,SAVINGS,2025-06-16T00:00:00
A0136,C0011,CURRENT,2025-06-17T00:00:00
A0137,C0012,SAVINGS,2025-06-18T00:00:00
A0138,C0013,SAVINGS,2025-06-19T00:00:00
A0139,C0014,WALLET,2025-06-20T00:00:00
A0140,C0015,SAVINGS,2025-06-21T00:00:00
A0141,C0016,SAVINGS,2025-06-22T00:00:00
A0142,C0017,SAVINGS,2025-06-23T00:00:00
A0143,C0018,SAVINGS,2025-06-24T00:00:00
A0144,C0019,SAVINGS,2025-06-25T00:00:00
A0145,C0020,SAVINGS,2025-06-26T00:00:00
A0146,C0021,SAVINGS,2025-06-27T00:00:00
A0147,C0022,SAVINGS,2025-06-28T00:00:00
A0148,C0023,SAVINGS,2025-06-29T00:00:00
A0149,C0024,CURRENT,2025-06-30T00:00:00
