customer_id,name,segment,home_country,created_at
C0000,Customer 0000,SME,IN,2025-01-01T00:00:00
C0001,Customer 0001,RETAIL,IN,2025-01-02T00:00:00
C0002,Customer 0002,SME,IN,2025-01-03T00:00:00
C0003,Customer 0003,RETAIL,IN,2025-01-04T00:00:00
C0004,Customer 0004,RETAIL,IN,2025-01-05T00:00:00
C0005,Customer 0005,PREMIUM,IN,2025-01-06T00:00:00
C0006,Customer 0006,SME,IN,2025-01-07T00:00:00
C0007,Customer 0007,SME,IN,2025-01-08T00:00:00
C0008,Customer 0008,RETAIL,IN,2025-01-09T00:00:00
C0009,Customer 0009,RETAIL,IN,2025-01-10T00:00:00
C0010,Customer 0010,RETAIL,IN,2025-01-11T00:00:00
C0011,Customer 0011,PREMIUM,IN,2025-01-12T00:00:00
C0012,Customer 0012,RETAIL,IN,2025-01-13T00:00:00
C0013,Customer 0013,SME,IN,2025-01-14T00:00:00
C0014,Customer 0014,RETAIL,IN,2025-01-15T00:00:00
C0015,Customer 0015,RETAIL,IN,2025-01-16T00:00:00
C0016,Customer 0016,RETAIL,IN,2025-01-17T00:00:00
C0017,Customer 0017,RETAIL,IN,2025-01-18T00:00:00
C0018,Customer 0018,SME,IN,2025-01-19T00:00:00
C0019,Customer 0019,RETAIL,IN,2025-01-20T00:00:00
C0020,Customer 0020,SME,IN,2025-01-21T00:00:00
C0021,Customer 0021,RETAIL,IN,2025-01-22T00:00:00
C0022,Customer 0022,PREMIUM,IN,2025-01-23T00:00:00
C0023,Customer 0023,SME,IN,2025-01-24T00:00:00
C0024,Customer 0024,SME,IN,2025-01-25T00:00:00
C0025,Customer 0025,RETAIL,IN,2025-01-26T00:00:00
C0026,Customer 0026,RETAIL,IN,2025-01-27T00:00:00
C0027,Customer 0027,RETAIL,IN,2025-01-28T00:00:00
C0028,Customer 0028,RETAIL,IN,2025-01-29T00:00:00
C0029,Customer 0029,RETAIL,IN,2025-01-30T00:00:00
C0030,Customer 0030,SME,IN,2025-01-31T00:00:00
C0031,Customer 0031,PREMIUM,IN,2025-02-01T00:00:00
C0032,Customer 0032,RETAIL,IN,2025-02-02T00:00:00
C0033,Customer 0033,RETAIL,IN,2025-02-03T00:00:00
C0034,Customer 0034,RETAIL,IN,2025-02-04T00:00:00
C0035,Customer 0035,RETAIL,IN,2025-02-05T00:00:00
C0036,Customer 0036,RETAIL,IN,2025-02-06T00:00:00
C0037,Customer 0037,RETAIL,IN,2025-02-07T00:00:00
C0038,Customer 0038,RETAIL,IN,2025-02-08T00:00:00
C0039,Customer 0039,RETAIL,IN,2025-02-09T00:00:00
C0040,Customer 0040,RETAIL,IN,2025-02-10T00:00:00
C0041,Customer 0041,SME,IN,2025-02-11T00:00:00
C0042,Customer 0042,RETAIL,IN,2025-02-12T00:00:00
C0043,Customer 0043,RETAIL,IN,2025-02-13T00:00:00
C0044,Customer 0044,SME,IN,2025-02-14T00:00:00
C0045,Customer 0045,SME,IN,2025-02-15T00:00:00
C0046,Customer 0046,RETAIL,IN,2025-02-16T00:00:00
C0047,Customer 0047,RETAIL,IN,2025-02-17T00:00:00
C0048,Customer 0048,RETAIL,IN,2025-02-18T00:00:00
C0049,Customer 0049,RETAIL,IN,2025-02-19T00:00:00
C0050,Customer 0050,RETAIL,IN,2025-02-20T00:00:00
C0051,Customer 0051,RETAIL,IN,2025-02-21T00:00:00
C0052,Customer 0052,SME,IN,2025-02-22T00:00:00
C0053,Customer 0053,RETAIL,IN,2025-02-23T00:00:00
C0054,Customer 0054,RETAIL,IN,2025-02-24T00:00:00
C0055,Customer 0055,SME,IN,2025-02-25T00:00:00
C0056,Customer 0056,RETAIL,IN,2025-02-26T00:00:00
C0057,Customer 0057,RETAIL,IN,2025-02-27T00:00:00
C0058,Customer 0058,RETAIL,IN,2025-02-28T00:00:00
C0059,Customer 0059,RETAIL,IN,2025-03-01T00:00:00
C0060,Customer 0060,RETAIL,IN,2025-03-02T00:00:00
C0061,Customer 0061,RETAIL,IN,2025-03-03T00:00:00
C0062,Customer 0062,RETAIL,IN,2025-03-04T00:00:00
C0063,Customer 0063,SME,IN,2025-03-05T00:00:00
C0064,Customer 0064,RETAIL,IN,2025-03-06T00:00:00
C0065,Customer 0065,RETAIL,IN,2025-03-07T00:00:00
C0066,Customer 0066,RETAIL,IN,2025-03-08T00:00:00
C0067,Customer 0067,RETAIL,IN,2025-03-09T00:00:00
C0068,Customer 0068,RETAIL,IN,2025-03-10T00:00:00
C0069,Customer 0069,RETAIL,IN,2025-03-11T00:00:00
C0070,Customer 0070,RETAIL,IN,2025-03-12T00:00:00
C0071,Customer 0071,RETAIL,IN,2025-03-13T00:00:00
C0072,Customer 0072,SME,IN,2025-03-14T00:00:00
C0073,Customer 0073,RETAIL,IN,2025-03-15T00:00:00
C0074,Customer 0074,RETAIL,IN,2025-03-16T00:00:00
C0075,Customer 0075,RETAIL,IN,2025-03-17T00:00:00
C0076,Customer 0076,RETAIL,IN,2025-03-18T00:00:00
C0077,Customer 0077,RETAIL,IN,2025-03-19T00:00:00
C0078,Customer 0078,RETAIL,IN,2025-03-20T00:00:00
C0079,Customer 0079,SME,IN,2025-03-21T00:00:00
