device_id,device_type,first_seen_at
D0000,WEB_BROWSER,2025-03-01T00:00:00
D0001,ATM_TERMINAL,2025-03-02T00:00:00
D0002,WEB_BROWSER,2025-03-03T00:00:00
D0003,ANDROID,2025-03-04T00:00:00
D0004,ATM_TERMINAL,2025-03-05T00:00:00
D0005,WEB_BROWSER,2025-03-06T00:00:00
D0006,IOS,2025-03-07T00:00:00
D0007,WEB_BROWSER,2025-03-08T00:00:00
D0008,ATM_TERMINAL,2025-03-09T00:00:00
D0009,ATM_TERMINAL,2025-03-10T00:00:00
D0010,ATM_TERMINAL,2025-03-11T00:00:00
D0011,IOS,2025-03-12T00:00:00
D0012,ATM_TERMINAL,2025-03-13T00:00:00
D0013,IOS,2025-03-14T00:00:00
D0014,WEB_BROWSER,2025-03-15T00:00:00
D0015,WEB_BROWSER,2025-03-16T00:00:00
D0016,ANDROID,2025-03-17T00:00:00
D0017,IOS,2025-03-18T00:00:00
D0018,ANDROID,2025-03-19T00:00:00
D0019,ANDROID,2025-03-20T00:00:00
D0020,IOS,2025-03-21T00:00:00
D0021,IOS,2025-03-22T00:00:00
D0022,ANDROID,2025-03-23T00:00:00
D0023,IOS,2025-03-24T00:00:00
D0024,WEB_BROWSER,2025-03-25T00:00:00
D0025,ANDROID,2025-03-26T00:00:00
D0026,IOS,2025-03-27T00:00:00
D0027,IOS,2025-03-28T00:00:00
D0028,WEB_BROWSER,2025-03-29T00:00:00
D0029,IOS,2025-03-30T00:00:00
D0030,WEB_BROWSER,2025-03-31T00:00:00
D0031,IOS,2025-04-01T00:00:00
D0032,IOS,2025-04-02T00:00:00
D0033,IOS,2025-04-03T00:00:00
D0034,ANDROID,2025-04-04T00:00:00
D0035,WEB_BROWSER,2025-04-05T00:00:00
D0036,ANDROID,2025-04-06T00:00:00
D0037,IOS,2025-04-07T00:00:00
D0038,ATM_TERMINAL,2025-04-08T00:00:00
D0039,ATM_TERMINAL,2025-04-09T00:00:00
D0040,WEB_BROWSER,2025-04-10T00:00:00
D0041,ATM_TERMINAL,2025-04-11T00:00:00
D0042,ATM_TERMINAL,2025-04-12T00:00:00
D0043,IOS,2025-04-13T00:00:00
D0044,ATM_TERMINAL,2025-04-14T00:00:00
D0045,IOS,2025-04-15T00:00:00
D0046,IOS,2025-04-16T00:00:00
D0047,WEB_BROWSER,2025-04-17T00:00:00
D0048,ATM_TERMINAL,2025-04-18T00:00:00
D0049,ATM_TERMINAL,2025-04-19T00:00:00
D0050,IOS,2025-04-20T00:00:00
D0051,WEB_BROWSER,2025-04-21T00:00:00
D0052,ANDROID,2025-04-22T00:00:00
D0053,ATM_TERMINAL,2025-04-23T00:00:00
D0054,WEB_BROWSER,2025-04-24T00:00:00
D0055,WEB_BROWSER,2025-04-25T00:00:00
D0056,ATM_TERMINAL,2025-04-26T00:00:00
D0057,WEB_BROWSER,2025-04-27T00:00:00
D0058,ANDROID,2025-04-28T00:00:00
D0059,IOS,2025-04-29T00:00:00
D0060,ANDROID,2025-04-30T00:00:00
D0061,WEB_BROWSER,2025-05-01T00:00:00
D0062,ANDROID,2025-05-02T00:00:00
D0063,ANDROID,2025-05-03T00:00:00
D0064,WEB_BROWSER,2025-05-04T00:00:00
D0065,WEB_BROWSER,2025-05-05T00:00:00
D0066,WEB_BROWSER,2025-05-06T00:00:00
D0067,ATM_TERMINAL,2025-05-07T00:00:00
D0068,ATM_TERMINAL,2025-05-08T00:00:00
D0069,ANDROID,2025-05-09T00:00:00
D0070,ATM_TERMINAL,2025-05-10T00:00:00
D0071,WEB_BROWSER,2025-05-11T00:00:00
D0072,WEB_BROWSER,2025-05-12T00:00:00
D0073,ANDROID,2025-05-13T00:00:00
D0074,WEB_BROWSER,2025-05-14T00:00:00
D0075,WEB_BROWSER,2025-05-15T00:00:00
D0076,WEB_BROWSER,2025-05-16T00:00:00
D0077,ANDROID,2025-05-17T00:00:00
D0078,WEB_BROWSER,2025-05-18T00:00:00
D0079,ATM_TERMINAL,2025-05-19T00:00:00
D0080,WEB_BROWSER,2025-05-20T00:00:00
D0081,ANDROID,2025-05-21T00:00:00
D0082,ATM_TERMINAL,2025-05-22T00:00:00
D0083,ATM_TERMINAL,2025-05-23T00:00:00
D0084,ANDROID,2025-05-24T00:00:00
D0085,ATM_TERMINAL,2025-05-25T00:00:00
D0086,IOS,2025-05-26T00:00:00
D0087,WEB_BROWSER,2025-05-27T00:00:00
D0088,IOS,2025-05-28T00:00:00
D0089,ATM_TERMINAL,2025-05-29T00:00:00
D0090,ATM_TERMINAL,2025-05-30T00:00:00
D0091,ATM_TERMINAL,2025-05-31T00:00:00
D0092,ATM_TERMINAL,2025-06-01T00:00:00
D0093,ATM_TERMINAL,2025-06-02T00:00:00
D0094,ANDROID,2025-06-03T00:00:00
D0095,IOS,2025-06-04T00:00:00
D0096,WEB_BROWSER,2025-06-05T00:00:00
D0097,WEB_BROWSER,2025-06-06T00:00:00
D0098,ANDROID,2025-06-07T00:00:00
D0099,ANDROID,2025-06-08T00:00:00
D0100,WEB_BROWSER,2025-06-09T00:00:00
D0101,WEB_BROWSER,2025-06-10T00:00:00
D0102,ANDROID,2025-06-11T00:00:00
D0103,ANDROID,2025-06-12T00:00:00
