merchant_id,merchant_category,country
M0000,GAMING,GB
M0001,GAMING,IN
M0002,ECOMMERCE,AE
M0003,GROCERY,US
M0004,TRAVEL,US
M0005,GROCERY,GB
M0006,TRAVEL,GB
M0007,ECOMMERCE,AE
M0008,ECOMMERCE,GB
M0009,GROCERY,GB
M0010,CRYPTO,IN
M0011,TRAVEL,IN
M0012,GROCERY,US
M0013,TRAVEL,AE
M0014,GROCERY,AE
M0015,GAMING,SG
M0016,ECOMMERCE,SG
M0017,GAMING,US
M0018,CRYPTO,IN
M0019,GAMING,IN
M0020,GROCERY,US
M0021,GROCERY,US
M0022,TRAVEL,IN
M0023,TRAVEL,US
M0024,ECOMMERCE,IN
M0025,ECOMMERCE,SG
M0026,ECOMMERCE,AE
M0027,CRYPTO,SG
M0028,GAMING,GB
M0029,CRYPTO,GB
M0030,GAMING,US
M0031,CRYPTO,IN
M0032,CRYPTO,GB
M0033,CRYPTO,GB
M0034,CRYPTO,IN
M0035,GROCERY,GB
M0036,CRYPTO,US
M0037,TRAVEL,IN
M0038,CRYPTO,SG
M0039,GAMING,GB
M0040,ECOMMERCE,SG
M0041,TRAVEL,SG
M0042,ECOMMERCE,AE
M0043,ECOMMERCE,AE
M0044,TRAVEL,SG
M0045,GAMING,AE
M0046,GAMING,GB
M0047,CRYPTO,AE
M0048,CRYPTO,SG
M0049,ECOMMERCE,SG
M0050,TRAVEL,AE
M0051,GAMING,GB
M0052,GAMING,SG
M0053,ECOMMERCE,US
M0054,TRAVEL,AE
