source_id,source_type,target_id,target_type,relationship
C0077,customer,A0077,account,OWNS
C0077,customer,D0077,device,USES
C0077,customer,10.78.140.2,ip,CONNECTS_FROM
C0077,customer,M0043,merchant,PAYS
A0077,account,T000000,transaction,HAS_TRANSACTION
C0121,customer,A0121,account,OWNS
C0121,customer,D0121,device,USES
C0121,customer,10.122.48.174,ip,CONNECTS_FROM
C0121,customer,M0035,merchant,PAYS
A0121,account,T000001,transaction,HAS_TRANSACTION
C0109,customer,A0109,account,OWNS
C0109,customer,D0492,device,USES
C0109,customer,10.110.164.18,ip,CONNECTS_FROM
C0109,customer,M0004,merchant,PAYS
A0109,account,T000002,transaction,HAS_TRANSACTION
C0055,customer,A0055,account,OWNS
C0055,customer,D0055,device,USES
C0055,customer,10.56.186.116,ip,CONNECTS_FROM
C0055,customer,M0045,merchant,PAYS
A0055,account,T000003,transaction,HAS_TRANSACTION
C0096,customer,A0096,account,OWNS
C0096,customer,D0096,device,USES
C0096,customer,10.97.73.49,ip,CONNECTS_FROM
C0096,customer,M0049,merchant,PAYS
A0096,account,T000004,transaction,HAS_TRANSACTION
C0032,customer,A0032,account,OWNS
C0032,customer,D0032,device,USES
C0032,customer,10.33.25.17,ip,CONNECTS_FROM
C0032,customer,M0033,merchant,PAYS
A0032,account,T000005,transaction,HAS_TRANSACTION
C0112,customer,A0112,account,OWNS
C0112,customer,D0112,device,USES
C0112,customer,10.113.185.57,ip,CONNECTS_FROM
C0112,customer,M0016,merchant,PAYS
A0112,account,T000006,transaction,HAS_TRANSACTION
C0042,customer,A0042,account,OWNS
C0042,customer,D0319,device,USES
C0042,customer,10.43.95.147,ip,CONNECTS_FROM
C0042,customer,M0029,merchant,PAYS
A0042,account,T000007,transaction,HAS_TRANSACTION
C0007,customer,A0007,account,OWNS
C0007,customer,D0007,device,USES
C0007,customer,10.8.50.92,ip,CONNECTS_FROM
C0007,customer,M0005,merchant,PAYS
A0007,account,T000008,transaction,HAS_TRANSACTION
C0120,customer,A0120,account,OWNS
C0120,customer,D0120,device,USES
C0120,customer,10.162.245.191,ip,CONNECTS_FROM
C0120,customer,M0027,merchant,PAYS
A0120,account,T000009,transaction,HAS_TRANSACTION
C0001,customer,A0001,account,OWNS
C0001,customer,D0111,device,USES
C0001,customer,10.112.178.44,ip,CONNECTS_FROM
C0001,customer,M0049,merchant,PAYS
A0001,account,T000010,transaction,HAS_TRANSACTION
C0001,customer,D0040,device,USES
C0001,customer,10.41.81.121,ip,CONNECTS_FROM
C0001,customer,M0043,merchant,PAYS
A0001,account,T000011,transaction,HAS_TRANSACTION
C0001,customer,D0084,device,USES
C0001,customer,10.85.189.93,ip,CONNECTS_FROM
C0001,customer,M0009,merchant,PAYS
A0001,account,T000012,transaction,HAS_TRANSACTION
C0001,customer,D0216,device,USES
C0001,customer,10.117.13.109,ip,CONNECTS_FROM
C0001,customer,M0016,merchant,PAYS
A0001,account,T000013,transaction,HAS_TRANSACTION
C0001,customer,D0098,device,USES
C0001,customer,10.99.87.75,ip,CONNECTS_FROM
C0001,customer,M0017,merchant,PAYS
A0001,account,T000014,transaction,HAS_TRANSACTION
C0001,customer,D0037,device,USES
C0001,customer,10.38.60.82,ip,CONNECTS_FROM
C0001,customer,M0047,merchant,PAYS
A0001,account,T000015,transaction,HAS_TRANSACTION
C0001,customer,D0041,device,USES
C0001,customer,10.42.88.134,ip,CONNECTS_FROM
A0001,account,T000016,transaction,HAS_TRANSACTION
C0001,customer,D0028,device,USES
C0001,customer,10.29.197.165,ip,CONNECTS_FROM
C0001,customer,M0039,merchant,PAYS
A0001,account,T000017,transaction,HAS_TRANSACTION
C0002,customer,A0002,account,OWNS
C0002,customer,D0114,device,USES
C0002,customer,10.115.199.83,ip,CONNECTS_FROM
C0002,customer,M0038,merchant,PAYS
A0002,account,T000018,transaction,HAS_TRANSACTION
C0002,customer,D0061,device,USES
C0002,customer,10.62.28.194,ip,CONNECTS_FROM
C0002,customer,M0000,merchant,PAYS
A0002,account,T000019,transaction,HAS_TRANSACTION
C0002,customer,D0039,device,USES
C0002,customer,M0019,merchant,PAYS
A0002,account,T000020,transaction,HAS_TRANSACTION
C0002,customer,D0027,device,USES
C0002,customer,10.28.190.152,ip,CONNECTS_FROM
A0002,account,T000021,transaction,HAS_TRANSACTION
C0002,customer,D0073,device,USES
C0002,customer,10.89.17.145,ip,CONNECTS_FROM
C0002,customer,M0032,merchant,PAYS
A0002,account,T000022,transaction,HAS_TRANSACTION
C0002,customer,D0063,device,USES
C0002,customer,10.147.149.99,ip,CONNECTS_FROM
C0002,customer,M0006,merchant,PAYS
