transaction_id,customer_id,account_id,merchant_id,device_id,ip_address,amount,currency,transaction_type,channel,country,timestamp,status
T000000,C0077,A0077,M0043,D0077,10.78.140.2,75000.0,INR,CARD,WEB,IN,2026-05-07T05:03:00,PENDING
T000001,C0121,A0121,M0035,D0121,10.122.48.174,125000.0,INR,UPI,MOBILE,IN,2026-05-06T05:25:00,SUCCESS
T000002,C0109,A0109,M0004,D0492,10.110.164.18,91000.0,INR,UPI,WEB,IN,2026-05-12T11:40:00,FAILED
T000003,C0055,A0055,M0045,D0055,10.56.186.116,64000.0,INR,UPI,WEB,IN,2026-05-10T13:45:00,SUCCESS
T000004,C0096,A0096,M0049,D0096,10.97.73.49,180000.0,INR,CARD,POS,IN,2026-05-04T15:48:00,SUCCESS
T000005,C0032,A0032,M0033,D0032,10.33.25.17,54000.0,INR,UPI,POS,IN,2026-05-10T18:39:00,SUCCESS
T000006,C0112,A0112,M0016,D0112,10.113.185.57,68000.0,INR,WALLET,MOBILE,IN,2026-05-10T19:48:00,SUCCESS
T000007,C0042,A0042,M0029,D0319,10.43.95.147,99000.0,INR,CARD,API,IN,2026-05-03T06:58:00,SUCCESS
T000008,C0007,A0007,M0005,D0007,10.8.50.92,150000.0,INR,UPI,MOBILE,IN,2026-05-06T11:46:00,SUCCESS
T000009,C0120,A0120,M0027,D0120,10.162.245.191,72000.0,INR,UPI,POS,IN,2026-05-08T22:43:00,SUCCESS
T000010,C0001,A0001,M0049,D0111,10.112.178.44,4500.0,INR,CARD,MOBILE,IN,2026-05-10T10:00:00,SUCCESS
T000011,C0001,A0001,M0043,D0040,10.41.81.121,4750.0,INR,CARD,WEB,AE,2026-05-10T10:01:00,SUCCESS
T000012,C0001,A0001,M0009,D0084,10.85.189.93,5000.0,INR,UPI,WEB,SG,2026-05-10T10:02:00,SUCCESS
T000013,C0001,A0001,M0016,D0216,10.117.13.109,5250.0,INR,UPI,MOBILE,IN,2026-05-10T10:03:00,SUCCESS
T000014,C0001,A0001,M0017,D0098,10.99.87.75,5500.0,INR,UPI,WEB,IN,2026-05-10T10:04:00,SUCCESS
T000015,C0001,A0001,M0047,D0037,10.38.60.82,5750.0,INR,UPI,WEB,IN,2026-05-10T10:05:00,SUCCESS
T000016,C0001,A0001,M0017,D0041,10.42.88.134,6000.0,INR,UPI,WEB,IN,2026-05-10T10:06:00,SUCCESS
T000017,C0001,A0001,M0039,D0028,10.29.197.165,6250.0,INR,UPI,MOBILE,IN,2026-05-10T10:07:00,SUCCESS
T000018,C0002,A0002,M0038,D0114,10.115.199.83,7793.94,INR,UPI,WEB,IN,2026-05-11T12:18:00,FAILED
T000019,C0002,A0002,M0000,D0061,10.62.28.194,8876.94,INR,NEFT,POS,IN,2026-05-11T12:19:00,FAILED
T000020,C0002,A0002,M0019,D0039,10.115.199.83,22958.47,INR,UPI,POS,IN,2026-05-11T12:00:00,FAILED
T000021,C0002,A0002,M0019,D0027,10.28.190.152,7547.81,INR,UPI,MOBILE,IN,2026-05-11T12:01:00,FAILED
T000022,C0002,A0002,M0032,D0073,10.89.17.145,12776.18,INR,UPI,WEB,IN,2026-05-11T12:02:00,FAILED
T000023,C0002,A0002,M0006,D0063,10.147.149.99,3852.52,INR,WALLET,POS,IN,2026-05-11T12:03:00,FAILED
T000024,C0077,A0077,M0018,D0077,10.78.140.2,2134.13,INR,RTGS,MOBILE,NG,2026-05-10T15:58:00,SUCCESS
T000025,C0105,A0105,M0048,D0105,10.106.136.166,4159.19,INR,CARD,WEB,KP,2026-05-12T01:24:00,SUCCESS
T000026,C0070,A0070,M0051,D0070,10.71.91.111,1397.48,INR,NEFT,WEB,IR,2026-05-01T13:11:00,SUCCESS
T000027,C0096,A0096,M0048,D0096,10.97.73.49,2859.23,INR,WALLET,MOBILE,RU,2026-05-14T06:05:00,SUCCESS
