case_id,transaction_id,customer_id,risk_score,decision,reason,priority,created_at,status
CASE-000001,T000043,C0021,78.93,BLOCK,"Signals: rules, anomalies, graph",HIGH,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000002,T000046,C0024,77.81,BLOCK,"Signals: rules, anomalies, graph",HIGH,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000003,T000047,C0025,75.94,BLOCK,"Signals: rules, anomalies, graph",HIGH,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000004,T000042,C0020,75.1,BLOCK,"Signals: rules, anomalies, graph",HIGH,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000005,T000045,C0023,74.46,BLOCK,"Signals: rules, anomalies, graph",HIGH,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000006,T000041,C0019,74.16,BLOCK,"Signals: rules, anomalies, graph",HIGH,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000007,T000089,C0008,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000008,T000080,C0085,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000009,T000074,C0050,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000010,T000073,C0014,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000011,T000072,C0006,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000012,T000001,C0121,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000013,T000000,C0077,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000014,T000815,C0015,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000015,T000002,C0109,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000016,T000004,C0096,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000017,T000007,C0042,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000018,T000008,C0007,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000019,T000009,C0120,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000020,T000005,C0032,67.5,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000021,T000003,C0055,66.1,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000022,T000088,C0065,65.41,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000023,T000006,C0112,65.0,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000024,T000083,C0063,64.89,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000025,T000086,C0017,63.42,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000026,T000084,C0027,63.31,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000027,T000063,C0035,63.17,REVIEW,"Signals: rules, anomalies, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000028,T000590,C0116,61.06,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000029,T000082,C0067,60.84,REVIEW,"Signals: rules, anomalies",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
CASE-000030,T000032,C0010,60.25,REVIEW,"Signals: rules, graph",MEDIUM,2026-05-22T14:48:39.390743+00:00,OPEN
