transaction_id,customer_id,rule_score,anomaly_score,graph_score,risk_score,decision,reason
T000000,C0077,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000001,C0121,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000002,C0109,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000003,C0055,85.0,94.41,0.0,66.1,REVIEW,"Signals: rules, anomalies"
T000004,C0096,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000005,C0032,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000006,C0112,85.0,90.01,0.0,65.0,REVIEW,"Signals: rules, anomalies"
T000007,C0042,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000008,C0007,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000009,C0120,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000010,C0001,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000011,C0001,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000012,C0001,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000013,C0001,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000014,C0001,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000015,C0001,82.0,0.0,0.0,41.0,REVIEW,Signals: rules
T000016,C0001,82.0,0.0,0.0,41.0,REVIEW,Signals: rules
T000017,C0001,82.0,0.0,0.0,41.0,REVIEW,Signals: rules
T000018,C0002,80.0,0.0,0.0,40.0,REVIEW,Signals: rules
T000019,C0002,80.0,0.0,0.0,40.0,REVIEW,Signals: rules
T000020,C0002,0.0,57.08,0.0,14.27,APPROVE,Signals: anomalies
T000021,C0002,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000022,C0002,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000023,C0002,80.0,0.0,0.0,40.0,REVIEW,Signals: rules
T000024,C0077,65.0,0.0,0.0,32.5,APPROVE,Signals: rules
T000025,C0105,65.0,0.0,0.0,32.5,APPROVE,Signals: rules
T000026,C0070,65.0,0.0,0.0,32.5,APPROVE,Signals: rules
T000027,C0096,65.0,0.0,0.0,32.5,APPROVE,Signals: rules
T000028,C0107,65.0,0.0,0.0,32.5,APPROVE,Signals: rules
T000029,C0066,65.0,54.12,0.0,46.03,REVIEW,"Signals: rules, anomalies"
T000030,C0025,65.0,0.0,0.0,32.5,APPROVE,Signals: rules
T000031,C0048,65.0,0.0,0.0,32.5,APPROVE,Signals: rules
T000032,C0010,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000033,C0011,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000034,C0012,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000035,C0013,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000036,C0014,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000037,C0015,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000038,C0016,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000039,C0017,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000040,C0018,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000041,C0019,78.0,55.62,85.0,74.16,BLOCK,"Signals: rules, anomalies, graph"
T000042,C0020,78.0,59.41,85.0,75.1,BLOCK,"Signals: rules, anomalies, graph"
T000043,C0021,78.0,74.71,85.0,78.93,BLOCK,"Signals: rules, anomalies, graph"
T000044,C0022,78.0,0.0,85.0,60.25,REVIEW,"Signals: rules, graph"
T000045,C0023,78.0,56.86,85.0,74.46,BLOCK,"Signals: rules, anomalies, graph"
T000046,C0024,78.0,70.24,85.0,77.81,BLOCK,"Signals: rules, anomalies, graph"
T000047,C0025,78.0,62.78,85.0,75.94,BLOCK,"Signals: rules, anomalies, graph"
T000048,C0041,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000049,C0091,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000050,C0083,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000051,C0096,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000052,C0085,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000053,C0088,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000054,C0122,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000055,C0057,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000056,C0042,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000057,C0019,0.0,0.0,0.0,0.0,APPROVE,No material fraud signals
T000058,C0030,55.0,0.0,85.0,48.75,REVIEW,"Signals: rules, graph"
T000059,C0031,0.0,0.0,85.0,21.25,APPROVE,Signals: graph
T000060,C0032,55.0,0.0,85.0,48.75,REVIEW,"Signals: rules, graph"
T000061,C0033,55.0,0.0,85.0,48.75,REVIEW,"Signals: rules, graph"
T000062,C0034,0.0,0.0,85.0,21.25,APPROVE,Signals: graph
T000063,C0035,55.0,57.68,85.0,63.17,REVIEW,"Signals: rules, anomalies, graph"
T000064,C0036,55.0,0.0,85.0,48.75,REVIEW,"Signals: rules, graph"
T000065,C0037,0.0,0.0,85.0,21.25,APPROVE,Signals: graph
T000066,C0038,55.0,0.0,85.0,48.75,REVIEW,"Signals: rules, graph"
T000067,C0039,55.0,0.0,85.0,48.75,REVIEW,"Signals: rules, graph"
T000068,C0040,0.0,55.82,85.0,35.2,APPROVE,"Signals: anomalies, graph"
T000069,C0041,55.0,0.0,85.0,48.75,REVIEW,"Signals: rules, graph"
T000070,C0058,55.0,61.11,0.0,42.78,REVIEW,"Signals: rules, anomalies"
T000071,C0051,55.0,59.92,0.0,42.48,REVIEW,"Signals: rules, anomalies"
T000072,C0006,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000073,C0014,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
T000074,C0050,85.0,100.0,0.0,67.5,REVIEW,"Signals: rules, anomalies"
